author,dob,book,isbn,pages,year,publisher,genre,language
gillian Flynn,1971-02-24,Gone Girl,9780297859406,463,2012,Crown Publishing Group,Crime Thriller,English
AC Bhaktivedanta Swami Prabhupaada,1896-09-01,Bhagavad Gita As It Is,9780892131341,944,1968,Bhaktivedant Book Trust,Hindu religious text,English
Agatha Christie,1890-09-15,After The Funeral ,9780062073822,304,2011,William Morrow Paperbacks,Murder Thriller,English
Agatha Christie,1890-09-15,A Murder Is Announced,978-0062073631,320,2011,William Morrow Paperbacks,Murder Thriller,English
Agatha Christie,1890-09-15,And Then There Were None,978-0062073488,288,2001,St. Martin’s Press,Murder Thriller,English
Agatha Christie,1890-09-15,Appointment With Death ,9780006752516,192,1984,Penguin Random House,Murder Thriller,English
Agatha Christie,1890-09-15,Big Four,9780006151708,160,2022,Dover Publications,Murder Thriller,English
Agatha Christie,1890-09-15,Black Coffee,9780006511373,304,1999,St. Martin’s Press,Murder Thriller,English
Agatha Christie,1890-09-15,Cards On The Table,9780006143130,336,2005,Penguin Random House,Murder Thriller,English
Agatha Christie,1890-09-15,Cat Among The Pigeons,9780006132806,304,1991,HarperCollins Pulishers,Murder Thriller,English
Agatha Christie,1890-09-15,Crooked House,9780006168645,288,2002,St. Martin’s Press,Murder Thriller,English
Agatha Christie,1890-09-15,Curtain,978-0007527601,238,1975,P M A Communications W Clement Stone,Murder Thriller,English
Agatha Christie,1890-09-15,Dead Man'S Folly,9780006151722,332,2012,HarperCollins,Murder Thriller,English
Agatha Christie,1890-09-15,Death In The Clouds ,9780006134220,272,2011,HarperCollins Pulishers,Murder Thriller,English
Agatha Christie,1890-09-15,Death On The Nile,9780006130062,352,2022,HarperCollins Pulishers,Murder Thriller,English
Agatha Christie,1890-09-15,Dumb Witness,9780006137832,272,1986,Penguin Random House,Murder Thriller,English
Agatha Christie,1890-09-15,Elephants Can Remember,9780062074034,198,1984,Bantam,Murder Thriller,English
Agatha Christie,1890-09-15,Evil Under The Sun,9780006139829,189,1957,Collins,Murder Thriller,English
Agatha Christie,1890-09-15,Halloween Party,9780006161721,240,1991,Penguin Random House,Murder Thriller,English
Agatha Christie,1890-09-15,Hercule Poirot'S Christmas ,9780006141266,256,1992,HarperCollins Pulishers,Murder Thriller,English
Agatha Christie,1890-09-15,Hickory Dickory Dock,9780006170006,208,1996,HarperCollins Pulishers,Murder Thriller,English
Agatha Christie,1890-09-15,Lord Edgware Dies,9780006165392,256,1986,Penguin Random House,Murder Thriller,English
Agatha Christie,1890-09-15,Mrs Mcginty'S Dead,9780006135265,192,1974,Fontana,Murder Thriller,English
Agatha Christie,1890-09-15,Murder In Mesopotamia,9780006128595,272,1987,Penguin Random House,Murder Thriller,English
Agatha Christie,1890-09-15,Murder On The Orient Express,9780006137122,304,2017,HarperCollins Pulishers,Murder Thriller,English
Agatha Christie,1890-09-15,Mysterious Affair At Styles,9783988287755,320,2023,Pan MacMillan,Murder Thriller,English
Agatha Christie,1890-09-15,One Two Buckle My Shoes,9781409577430,256,1940,Collins Crime Club,Murder Thriller,English
Agatha Christie,1890-09-15,Sad Cypress,9780006133087,256,2007,Black Dog & Leventhal Publishers,Murder Thriller,English
Agatha Christie,1890-09-15,Taken At The Flood,9780006168898,256,1984,Penguin Random House,Murder Thriller,English
Agatha Christie,1890-09-15,The Abc Murders,9780330256520,266,2018,HarperCollins,Murder Thriller,English
Agatha Christie,1890-09-15,The Clocks,9780006161738,320,2011,HarperCollins Pulishers,Murder Thriller,English
Agatha Christie,1890-09-15,The Hollow,9780006158219,272,1984,Penguin Random House,Murder Thriller,English
Agatha Christie,1890-09-15,The Murder Of Roger Ackroyd,9780006136651,304,2011,HarperCollins Pulishers,Murder Thriller,English
Agatha Christie,1890-09-15,The Murder On The Links,9783988287748,224,1985,Penguin Random House,Murder Thriller,English
Agatha Christie,1890-09-15,The Mystery Of The Blue Train,9780006119838,384,2013,HarperCollins,Murder Thriller,English
Agatha Christie,1890-09-15,Third Girl,9780006151197,272,2000,Penguin Random House,Murder Thriller,English
Alexandre Dumas,1802-07-24,The Count Of Monte Cristo,9780199219650,544,1984,Penguin Random House,Historical Fiction,English
Amish Tripathi,1974-10-18,Scion Of Ikshvaku,9789356290792,378,2015,Amazon Publishing,Spiritual Fiction,English
Amish Tripathi,1974-10-18,Sita Warrior Of Mithila,9789356290914,376,2022,HarperCollins Pulishers,Spiritual Fiction,English
Amish Tripathi,1974-10-18,"Raavan, Enemy Of Aryavarta",9789356290976,400,2022,HarperCollins Pulishers,Spiritual Fiction,English
Amish Tripathi,1974-10-18,Immortals Of Meluha,9789383260157,436,2010,Amazon Publishing,Spiritual Fiction,English
Amish Tripathi,1974-10-18,The Secret Of The Nagas,9781780874043,396,2011,Amazon Publishing,Spiritual Fiction,English
Amish Tripathi,1974-10-18,Oath Of The Vayuputras,9781681445021,575,2022,HarperCollins Pulishers,Spiritual Fiction,English
Anand Neelakantan,1973-12-05,Asura Tale Of The Vanquished,9789381576052,504,2012,Leadstart Publishing Pvt,Spiritual Fiction,English
Anand Neelakantan,1973-12-05,Ajaya - Roll Of The Dice,9788183225397,456,2013,Leadstart Publishing Pvt,Spiritual Fiction,English
Anthony Horowitz,1955-04-05,Russian Roulette,978-1406360288,432,2015,Walker Books Ltd,Fiction,English
Anthony Horowitz,1955-04-05,Never Say Die,978-1524739300,368,2017,Philomel Books,Fiction,English
Anthony Horowitz,1955-04-05,Nightshade,9780593115329,432,2021,Penguin Random House,Fiction,English
Anthony Horowitz,1955-04-05,Stormbreaker,9780142401651,304,2006,Penguin Random House,Fiction,English
Anthony Horowitz,1955-04-05,Point Blank,9780399250262,320,2006,Penguin Random House,Fiction,English
Anthony Horowitz,1955-04-05,Skeleton Key,9780142401026,368,2006,Penguin Random House,Fiction,English
Anthony Horowitz,1955-04-05,Eagle Strike,9780142402924,368,2006,Penguin Random House,Fiction,English
Anthony Horowitz,1955-04-05,Scorpia,9783473585267,416,2006,Penguin Random House,Fiction,English
Anthony Horowitz,1955-04-05,Ark Angel,9780142407387,352,2007,Penguin Random House,Fiction,English
Anthony Horowitz,1955-04-05,Snakehead,9781406360257,432,2008,Penguin Random House,Fiction,English
Anthony Horowitz,1955-04-05,Crocodile Tears,‎ 978-1406360264,432,2015,Walker Books Ltd,Fiction,English
Anthony Horowitz,1955-04-05,Scorpia Rising,9783473585564,416,2011,Penguin Random House,Fiction,English
Chetan Bhagat,1974-04-22,3 Mistakes Of My Life,9788129113726,282,2014,Rupa & Company,Realistic Fiction,English
Chetan Bhagat,1974-04-22,Girl In Room 105,9781542040464,312,2018,Amazon Publishing,Realistic Fiction,English
Chetan Bhagat,1974-04-22,One Indian Girl,9781367328440,280,2016,Rupa Publications Pvt,Realistic Fiction,English
Chetan Bhagat,1974-04-22,Revolution 2020,9788129118806,296,2014,Rupa & Company,Realistic Fiction,English
Chetan Bhagat,1974-04-22,One Night at The Call Center,9788129108180,267,2005,Rupa Publications India,Realistic Fiction,English
Clive Staples Lewis,1898-11-29,"The Lion, The Witch And The Wardrobe",9780006716631,208,2008,HarperCollins Pulishers,Fantasy,English
Clive Staples Lewis,1898-11-29,Prince Caspian,9780007115563,240,2000,HarperCollins Pulishers,Fantasy,English
Clive Staples Lewis,1898-11-29,The Voyage Of The Dawn Treader,9780006716655,256,2008,HarperCollins Pulishers,Fantasy,English
Clive Staples Lewis,1898-11-29,The Silver Chair,9780006716686,256,2000,HarperCollins Pulishers,Fantasy,English
